Time,Error
0,0
60,37.06672
120,107.789086
180,205.551764
240,320.894116
300,442.387228
360,557.903359
420,655.978947
480,727.021636
540,764.238488
600,764.241388
660,727.308376
720,657.289868
780,561.179037
840,448.403709
900,329.922957
960,217.216598
1020,121.253927
1080,51.569726
1140,15.831164
1200,15.832876
1260,51.848701
1320,122.533792
1380,220.391073
1440,335.718158
1500,457.100534
1560,572.50569
1620,670.52627
1680,741.562357
1740,778.788658
1800,778.799034
1860,741.874292
1920,671.874445
1980,575.797444
2040,463.072369
2100,344.665585
2160,232.083299
2220,136.369442
2280,67.255325
2340,32.297712
2400,32.302327
2460,67.538052
2520,137.656637
2580,235.270288
2640,350.480605
2700,471.800217
2760,587.169495
2820,685.170086
2880,756.197331
2940,793.42411
3000,793.443922
3060,756.538436
3120,686.569849
3180,590.540636
3240,477.888964
3300,359.599824
3360,247.220343
3420,151.885112
3480,83.468523
3540,49.155419
3600,49.163136
3660,83.757293
3720,153.182537
3780,250.425104
3840,365.441429
3900,486.652932
3960,601.959354
4020,699.92415
4080,770.934277
4140,808.158942
4200,808.190601
4260,771.311911
4320,701.388298
4380,605.428905
4440,492.884892
4500,374.766997
4560,262.673707
4620,167.835257
4680,100.197784
4740,66.476677
4800,66.488362
4860,100.49475
4920,169.145152
4980,265.899404
5040,380.640194
5100,501.692474
5160,616.904581
5220,714.814821
5280,785.797871
5340,823.017281
5400,823.063761
5460,786.221123
5520,716.35919
5580,620.496242
5640,508.100833
5700,390.216379
5760,278.501719
5820,184.279513
5880,117.498909
5940,84.365921
6000,84.382354
6060,117.806626
6120,185.604221
6180,281.751052
6240,396.125316
6300,516.958382
6360,632.038082
6420,729.870561
6480,800.814053
6540,838.02426
6600,838.089378
6660,801.294837
6720,731.516518
6780,635.785185
6840,523.592547
6900,406.023855
6960,294.80922
7020,201.361434
7080,135.573998
7140,103.103829
7200,103.126036
7260,135.886517
7320,202.672408
7380,298.006947
7380,0
7440,115.321969
7500,266.682543
7560,439.45766
7620,598.822637
7680,714.56937
7740,772.922527
7800,772.947047
7860,718.713059
7920,615.966284
7980,473.417674
8040,304.375732
8100,126.275433
8160,48.128366
8220,190.294206
8280,294.9983
8340,350.19595
8400,350.1515
8460,294.400797
8520,188.015157
8580,42.246578
8640,133.144188
8700,315.091426
8760,488.248714
8820,635.344507
8880,741.964193
8940,797.864079
9000,797.930199
9060,742.58803
9120,637.649393
9180,493.667948
9240,324.961231
9300,148.953525
9360,38.942474
9420,170.445827
9480,274.298895
9540,329.313764
9600,329.217766
9660,273.56199
9720,167.784152
9780,31.799394
9840,156.524905
9900,337.620675
9960,510.547686
10020,657.5723
10080,764.181167
10140,820.103467
10200,820.224693
10260,764.981055
10320,660.206867
10380,516.51122
10440,348.378957
10500,173.939324
10560,47.334472
10620,153.309122
10680,255.160379
10740,309.637232
10800,309.474089
10860,254.193591
10920,150.102894
10980,42.068627
11040,181.10628
11100,360.904399
11160,533.41183
11220,680.270032
11280,786.824438
11340,842.760004
11400,842.951008
11460,787.84211
11520,683.299735
11580,540.014
11640,372.692609
11700,200.243883
11760,68.941292
11820,140.561312
11880,238.298526
11940,291.752257
12000,291.507298
12060,237.053712
12120,136.747464
12180,65.655156
12240,207.086705
12300,385.124312
12360,556.987316
12420,703.572242
12480,810.024326
12540,865.960985
12600,866.237245
12660,811.307597
12720,707.081387
12780,564.355153
12840,398.111096
12900,228.067497
12960,96.731092
13020,134.614657
13080,224.92318
13140,276.579877
13200,276.244307
13260,223.379716
13320,130.315263
13380,94.646646
13440,234.692999
13500,410.509712
13560,581.466046
13620,727.642884
13680,833.928016
13740,889.845688
13800,890.22254
13860,835.524219
13920,731.714698
13980,589.723459
14040,424.854228
14100,257.629283
14160,128.181168
14220,137.780162
14280,216.605872
14340,265.353848
14400,264.931397
14460,214.79996
14520,133.367649
14580,126.938273
14640,264.150169
14700,437.281271
14760,607.027058
14820,752.62731
14880,858.659024
14940,914.526658
15000,915.018805
15060,860.614704
15120,757.347742
15180,616.312207
15240,453.186291
15300,289.294795
15360,162.993043
15420,151.694113
15480,215.64127
15540,260.086485
15600,259.600719
15660,213.602817
15720,144.360239
15720,0
15780,146.910099
15840,291.440516
15900,413.22415
15960,514.19162
16020,599.580393
16080,665.827847
16140,702.940131
16200,702.960267
16260,664.874289
16320,593.772393
16380,497.768954
16440,386.099313
16500,268.859269
16560,157.063166
16620,62.432238
16680,18.905823
16740,49.37257
16800,49.32773
16860,18.527451
16920,63.358621
16980,159.939246
17040,274.842205
17100,395.996929
17160,511.259192
17220,609.185551
17280,680.168764
17340,717.390262
17400,717.452768
17460,680.64322
17520,610.827712
17580,515.019204
17640,402.687997
17700,284.915528
17760,173.586075
17820,81.542163
17880,33.587057
17940,46.308309
18000,46.218396
18060,33.349818
18120,82.6439
