=== Waypoint List ===
Longitude = 44.561270, Latitude = -3.208548, Altitude = 114.236734m, Distance left = 661591.111677m, Subpoint 44
Longitude = 44.686017, Latitude = -3.063994, Altitude = 114.241978m, Distance left = 643590.789807m, Subpoint 45
Longitude = 44.810581, Latitude = -2.918816, Altitude = 114.247218m, Distance left = 625590.467907m, Subpoint 46
Longitude = 44.934960, Latitude = -2.773010, Altitude = 114.252452m, Distance left = 607590.145977m, Subpoint 47
Longitude = 45.059152, Latitude = -2.626572, Altitude = 114.257682m, Distance left = 589589.824017m, Subpoint 48
Longitude = 45.183157, Latitude = -2.479497, Altitude = 114.262905m, Distance left = 571589.502027m, Subpoint 49
Longitude = 45.306972, Latitude = -2.331780, Altitude = 114.268124m, Distance left = 553589.180007m, Subpoint 50
Longitude = 45.430596, Latitude = -2.183417, Altitude = 114.273338m, Distance left = 535588.857957m, Subpoint 51
Longitude = 45.554027, Latitude = -2.034404, Altitude = 114.278546m, Distance left = 517588.535878m, Subpoint 52
Longitude = 45.677264, Latitude = -1.884734, Altitude = 114.283749m, Distance left = 499588.213768m, Subpoint 53
Longitude = 45.800304, Latitude = -1.734405, Altitude = 114.288947m, Distance left = 481587.891629m, Subpoint 54
Longitude = 45.923146, Latitude = -1.583411, Altitude = 114.294139m, Distance left = 463587.569460m, Subpoint 55
Longitude = 46.045788, Latitude = -1.431747, Altitude = 114.299327m, Distance left = 445587.247261m, Subpoint 56
Longitude = 46.168229, Latitude = -1.279408, Altitude = 114.304509m, Distance left = 427586.925033m, Subpoint 57
Longitude = 46.290467, Latitude = -1.126391, Altitude = 114.309686m, Distance left = 409586.602775m, Subpoint 58
Longitude = 46.412499, Latitude = -0.972689, Altitude = 114.314858m, Distance left = 391586.280488m, Subpoint 59
Longitude = 46.534325, Latitude = -0.818299, Altitude = 114.320025m, Distance left = 373585.958171m, Subpoint 60
Longitude = 46.655942, Latitude = -0.663215, Altitude = 114.325186m, Distance left = 355585.635824m, Subpoint 61
Longitude = 46.777349, Latitude = -0.507433, Altitude = 114.330343m, Distance left = 337585.313449m, Subpoint 62
Longitude = 46.898543, Latitude = -0.350947, Altitude = 114.335494m, Distance left = 319584.991044m, Subpoint 63
Longitude = 47.019523, Latitude = -0.193753, Altitude = 114.340640m, Distance left = 301584.668609m, Subpoint 64
Longitude = 47.140287, Latitude = -0.035845, Altitude = 114.345781m, Distance left = 283584.346145m, Subpoint 65
Longitude = 47.260833, Latitude = 0.122781, Altitude = 114.350917m, Distance left = 265584.023652m, Subpoint 66
Longitude = 47.381160, Latitude = 0.282130, Altitude = 114.356048m, Distance left = 247583.701130m, Subpoint 67
Longitude = 47.501264, Latitude = 0.442207, Altitude = 114.361173m, Distance left = 229583.378579m, Subpoint 68
Longitude = 47.621144, Latitude = 0.603018, Altitude = 114.366294m, Distance left = 211583.055999m, Subpoint 69
Longitude = 47.740799, Latitude = 0.764568, Altitude = 114.371409m, Distance left = 193582.733389m, Subpoint 70
Longitude = 47.860226, Latitude = 0.926861, Altitude = 114.376519m, Distance left = 175582.410751m, Subpoint 71
Longitude = 47.979424, Latitude = 1.089903, Altitude = 114.381624m, Distance left = 157582.088083m, Subpoint 72
Longitude = 48.098389, Latitude = 1.253698, Altitude = 114.386724m, Distance left = 139581.765387m, Subpoint 73
Longitude = 48.217121, Latitude = 1.418253, Altitude = 114.391819m, Distance left = 121581.442662m, Subpoint 74
Longitude = 48.335616, Latitude = 1.583572, Altitude = 114.396909m, Distance left = 103581.119908m, Subpoint 75
Longitude = 48.453874, Latitude = 1.749661, Altitude = 114.401994m, Distance left = 85580.797125m, Subpoint 76
Longitude = 48.571892, Latitude = 1.916524, Altitude = 114.407073m, Distance left = 67580.474313m, Subpoint 77
Longitude = 48.689667, Latitude = 2.084167, Altitude = 114.412148m, Distance left = 49580.151473m, Subpoint 78
Longitude = 48.807198, Latitude = 2.252595, Altitude = 114.417217m, Distance left = 31579.828604m, Subpoint 79
Longitude = 48.924483, Latitude = 2.421814, Altitude = 114.422282m, Distance left = 13579.505706m, Subpoint 80
Longitude = 49.012800, Latitude = 2.550002, Altitude = 114.427341m, Distance left = 0.232803m, Subpoint 81

=== From Paris to Moscow ===
Paris has coordinates 49.012798 2.550000 and altitude 119.481600m, Moscow has coordinates 55.408798 37.906300 and altitude 179.222400m
Distance between waypoints: 2484243.803449m, Distance each segment: 18000.000000m, Subpoints: 138.013545
Longitude = 49.093697, Latitude = 2.763637, Altitude = 119.541341m, Distance left = 2466243.489348m, Subpoint 0
Longitude = 49.174200, Latitude = 2.977970, Altitude = 119.601022m, Distance left = 2448243.174887m, Subpoint 1
Longitude = 49.254304, Latitude = 3.193000, Altitude = 119.660643m, Distance left = 2430242.860067m, Subpoint 2
Longitude = 49.334009, Latitude = 3.408726, Altitude = 119.720205m, Distance left = 2412242.544887m, Subpoint 3
Longitude = 49.413311, Latitude = 3.625151, Altitude = 119.779707m, Distance left = 2394242.229348m, Subpoint 4
Longitude = 49.492207, Latitude = 3.842275, Altitude = 119.839150m, Distance left = 2376241.913452m, Subpoint 5
Longitude = 49.570696, Latitude = 4.060097, Altitude = 119.898533m, Distance left = 2358241.597198m, Subpoint 6
Longitude = 49.648775, Latitude = 4.278620, Altitude = 119.957857m, Distance left = 2340241.280587m, Subpoint 7
Longitude = 49.726441, Latitude = 4.497842, Altitude = 120.017122m, Distance left = 2322240.963620m, Subpoint 8
Longitude = 49.803693, Latitude = 4.717766, Altitude = 120.076327m, Distance left = 2304240.646297m, Subpoint 9
Longitude = 49.880526, Latitude = 4.938390, Altitude = 120.135473m, Distance left = 2286240.328618m, Subpoint 10
Longitude = 49.956940, Latitude = 5.159716, Altitude = 120.194560m, Distance left = 2268240.010585m, Subpoint 11
Longitude = 50.032931, Latitude = 5.381744, Altitude = 120.253588m, Distance left = 2250239.692197m, Subpoint 12
Longitude = 50.108498, Latitude = 5.604473, Altitude = 120.312556m, Distance left = 2232239.373455m, Subpoint 13
Longitude = 50.183637, Latitude = 5.827905, Altitude = 120.371466m, Distance left = 2214239.054360m, Subpoint 14
Longitude = 50.258346, Latitude = 6.052038, Altitude = 120.430317m, Distance left = 2196238.734912m, Subpoint 15
Longitude = 50.332623, Latitude = 6.276874, Altitude = 120.489109m, Distance left = 2178238.415112m, Subpoint 16
Longitude = 50.406465, Latitude = 6.502411, Altitude = 120.547843m, Distance left = 2160238.094960m, Subpoint 17
